ticket_id,title,description,category,category_label,priority,status
"TCK-SAMPLE-001","Không đăng nhập được cổng sinh viên","Em nhập đúng email và mật khẩu nhưng cổng sinh viên liên tục báo thông tin không hợp lệ. Em cần vào xem lịch học trong hôm nay.","account_system","Tài khoản / Hệ thống","high","open"
"TCK-SAMPLE-002","Tài khoản bị khóa trước giờ thi","Tài khoản của em bị khóa sau nhiều lần đăng nhập thất bại. Sáng mai em có lịch thi trực tuyến nên cần được hỗ trợ gấp.","account_system","Tài khoản / Hệ thống","high","open"
"TCK-SAMPLE-003","Không nhận được mã xác thực đăng nhập","Em đăng nhập vào hệ thống nhưng không nhận được mã xác thực qua email sinh viên. Em đã kiểm tra hộp thư rác nhưng vẫn không thấy.","account_system","Tài khoản / Hệ thống","medium","open"
"TCK-SAMPLE-004","Thông tin cá nhân trên cổng bị sai","Tên lớp và số điện thoại của em trên cổng sinh viên đang hiển thị sai. Em cần cập nhật để làm hồ sơ thực tập.","account_system","Tài khoản / Hệ thống","medium","in_progress"
"TCK-SAMPLE-005","Không đổi được mật khẩu tài khoản","Khi đổi mật khẩu hệ thống báo lỗi máy chủ. Em đã thử trên nhiều trình duyệt nhưng vẫn không thể hoàn tất.","account_system","Tài khoản / Hệ thống","medium","open"
"TCK-SAMPLE-006","Cổng sinh viên tự đăng xuất liên tục","Mỗi lần em mở mục học phí thì hệ thống tự đăng xuất. Việc này làm em không thể kiểm tra biên lai thanh toán.","account_system","Tài khoản / Hệ thống","medium","open"
"TCK-SAMPLE-007","Không truy cập được tài khoản sau khi đổi email","Sau khi cập nhật email cá nhân em không thể đăng nhập lại vào cổng sinh viên. Hệ thống báo tài khoản không tồn tại.","account_system","Tài khoản / Hệ thống","high","open"
"TCK-SAMPLE-008","Lỗi phân quyền tài khoản sinh viên","Tài khoản của em không thấy các chức năng đăng ký học phần dù các bạn cùng lớp vẫn dùng được bình thường.","account_system","Tài khoản / Hệ thống","high","open"
"TCK-SAMPLE-009","Không tải được trang điểm danh","Trang điểm danh trên cổng sinh viên chỉ quay vòng và không hiển thị dữ liệu. Em cần kiểm tra để phản hồi giảng viên.","account_system","Tài khoản / Hệ thống","medium","open"
"TCK-SAMPLE-010","Quên mật khẩu nhưng không reset được","Chức năng quên mật khẩu báo đã gửi email nhưng em không nhận được thư khôi phục. Em cần lấy lại tài khoản trong hôm nay.","account_system","Tài khoản / Hệ thống","high","open"
"TCK-SAMPLE-011","Wifi phòng B305 rất yếu","Wifi tại phòng B305 thường xuyên mất kết nối trong giờ học. Nhiều sinh viên không thể truy cập tài liệu trực tuyến.","network","Mạng / Kết nối","high","open"
"TCK-SAMPLE-012","Mạng ký túc xá chậm vào buổi tối","Internet tại khu ký túc xá bị chậm rõ rệt sau 19 giờ. Việc học online và nộp bài bị ảnh hưởng nhiều.","network","Mạng / Kết nối","medium","open"
"TCK-SAMPLE-013","Không kết nối được wifi trường","Điện thoại và laptop của em đều không thể kết nối vào wifi trường. Hệ thống báo xác thực thất bại dù tài khoản đúng.","network","Mạng / Kết nối","medium","open"
"TCK-SAMPLE-014","Mạng phòng máy bị ngắt liên tục","Trong buổi thực hành tại phòng máy mạng bị rớt nhiều lần. Cả lớp không thể chạy bài lab theo yêu cầu.","network","Mạng / Kết nối","high","in_progress"
"TCK-SAMPLE-015","Wifi thư viện không ổn định","Wifi tại tầng hai thư viện lúc có lúc mất. Sinh viên không thể tra cứu tài liệu và làm bài nhóm ổn định.","network","Mạng / Kết nối","medium","open"
"TCK-SAMPLE-016","Không vào được trang học trực tuyến khi dùng mạng trường","Khi dùng wifi trường em không truy cập được hệ thống học trực tuyến nhưng dùng 4G thì vào được bình thường.","network","Mạng / Kết nối","high","open"
"TCK-SAMPLE-017","Tốc độ mạng phòng C204 quá thấp","Tốc độ tải tài liệu trong phòng C204 rất chậm. Việc xem video bài giảng gần như không thực hiện được.","network","Mạng / Kết nối","medium","open"
"TCK-SAMPLE-018","Mạng bị chặn khi truy cập kho học liệu","Sinh viên không mở được kho học liệu số khi dùng mạng nội bộ. Trình duyệt báo kết nối bị từ chối.","network","Mạng / Kết nối","medium","open"
"TCK-SAMPLE-019","Wifi khu tự học mất kết nối hàng loạt","Nhiều bạn tại khu tự học không thể dùng wifi trong suốt buổi chiều. Mong nhà trường kiểm tra điểm phát sóng.","network","Mạng / Kết nối","high","open"
