title,description,category,category_label,priority
Không đăng nhập được tài khoản sinh viên,Em nhập đúng mật khẩu nhưng hệ thống báo lỗi đăng nhập. Mong được hỗ trợ sớm.,account_system,Tài khoản / Hệ thống,low
Quên mật khẩu cổng sinh viên,Em cần reset mật khẩu để truy cập cổng thông tin. Vấn đề xảy ra từ hôm qua. Tình trạng này ảnh hưởng đến việc học của lớp em.,account_system,Tài khoản / Hệ thống,medium
Tài khoản bị khóa trước giờ thi,"Tài khoản của em bị khóa, sáng mai em có lịch thi online. Nhiều bạn trong lớp cũng gặp tình trạng tương tự. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.",account_system,Tài khoản / Hệ thống,high
Không đăng nhập được tài khoản sinh viên lần 2,Em nhập đúng mật khẩu nhưng hệ thống báo lỗi đăng nhập. Em đã thử lại nhiều lần nhưng chưa được.,account_system,Tài khoản / Hệ thống,low
Quên mật khẩu cổng sinh viên lần 2,Em cần reset mật khẩu để truy cập cổng thông tin. Nếu cần thêm thông tin em có thể bổ sung. Tình trạng này ảnh hưởng đến việc học của lớp em.,account_system,Tài khoản / Hệ thống,medium
Tài khoản bị khóa trước giờ thi lần 2,"Tài khoản của em bị khóa, sáng mai em có lịch thi online. Tình trạng này ảnh hưởng đến việc học. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.",account_system,Tài khoản / Hệ thống,high
Không đăng nhập được tài khoản sinh viên lần 3,Em nhập đúng mật khẩu nhưng hệ thống báo lỗi đăng nhập. Em cần xử lý trong tuần này.,account_system,Tài khoản / Hệ thống,low
Quên mật khẩu cổng sinh viên lần 3,Em cần reset mật khẩu để truy cập cổng thông tin. Nhờ phòng ban kiểm tra giúp em. Tình trạng này ảnh hưởng đến việc học của lớp em.,account_system,Tài khoản / Hệ thống,medium
Tài khoản bị khóa trước giờ thi lần 3,"Tài khoản của em bị khóa, sáng mai em có lịch thi online. Hiện tại em vẫn chưa thể sử dụng bình thường. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.",account_system,Tài khoản / Hệ thống,high
Không đăng nhập được tài khoản sinh viên lần 4,Em nhập đúng mật khẩu nhưng hệ thống báo lỗi đăng nhập. Cảm ơn bộ phận hỗ trợ.,account_system,Tài khoản / Hệ thống,low
Quên mật khẩu cổng sinh viên lần 4,Em cần reset mật khẩu để truy cập cổng thông tin. Mong được hỗ trợ sớm. Tình trạng này ảnh hưởng đến việc học của lớp em.,account_system,Tài khoản / Hệ thống,medium
Tài khoản bị khóa trước giờ thi lần 4,"Tài khoản của em bị khóa, sáng mai em có lịch thi online. Vấn đề xảy ra từ hôm qua. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.",account_system,Tài khoản / Hệ thống,high
Không đăng nhập được tài khoản sinh viên lần 5,Em nhập đúng mật khẩu nhưng hệ thống báo lỗi đăng nhập. Nhiều bạn trong lớp cũng gặp tình trạng tương tự.,account_system,Tài khoản / Hệ thống,low
Quên mật khẩu cổng sinh viên lần 5,Em cần reset mật khẩu để truy cập cổng thông tin. Em đã thử lại nhiều lần nhưng chưa được. Tình trạng này ảnh hưởng đến việc học của lớp em.,account_system,Tài khoản / Hệ thống,medium
Tài khoản bị khóa trước giờ thi lần 5,"Tài khoản của em bị khóa, sáng mai em có lịch thi online. Nếu cần thêm thông tin em có thể bổ sung. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.",account_system,Tài khoản / Hệ thống,high
Không đăng nhập được tài khoản sinh viên lần 6,Em nhập đúng mật khẩu nhưng hệ thống báo lỗi đăng nhập. Tình trạng này ảnh hưởng đến việc học.,account_system,Tài khoản / Hệ thống,low
Quên mật khẩu cổng sinh viên lần 6,Em cần reset mật khẩu để truy cập cổng thông tin. Em cần xử lý trong tuần này. Tình trạng này ảnh hưởng đến việc học của lớp em.,account_system,Tài khoản / Hệ thống,medium
Tài khoản bị khóa trước giờ thi lần 6,"Tài khoản của em bị khóa, sáng mai em có lịch thi online. Nhờ phòng ban kiểm tra giúp em. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.",account_system,Tài khoản / Hệ thống,high
Không đăng nhập được tài khoản sinh viên lần 7,Em nhập đúng mật khẩu nhưng hệ thống báo lỗi đăng nhập. Hiện tại em vẫn chưa thể sử dụng bình thường.,account_system,Tài khoản / Hệ thống,low
Quên mật khẩu cổng sinh viên lần 7,Em cần reset mật khẩu để truy cập cổng thông tin. Cảm ơn bộ phận hỗ trợ. Tình trạng này ảnh hưởng đến việc học của lớp em.,account_system,Tài khoản / Hệ thống,medium
Tài khoản bị khóa trước giờ thi lần 7,"Tài khoản của em bị khóa, sáng mai em có lịch thi online. Mong được hỗ trợ sớm. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.",account_system,Tài khoản / Hệ thống,high
Không đăng nhập được tài khoản sinh viên lần 8,Em nhập đúng mật khẩu nhưng hệ thống báo lỗi đăng nhập. Vấn đề xảy ra từ hôm qua.,account_system,Tài khoản / Hệ thống,low
Quên mật khẩu cổng sinh viên lần 8,Em cần reset mật khẩu để truy cập cổng thông tin. Nhiều bạn trong lớp cũng gặp tình trạng tương tự. Tình trạng này ảnh hưởng đến việc học của lớp em.,account_system,Tài khoản / Hệ thống,medium
Tài khoản bị khóa trước giờ thi lần 8,"Tài khoản của em bị khóa, sáng mai em có lịch thi online. Em đã thử lại nhiều lần nhưng chưa được. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.",account_system,Tài khoản / Hệ thống,high
Không đăng nhập được tài khoản sinh viên lần 9,Em nhập đúng mật khẩu nhưng hệ thống báo lỗi đăng nhập. Nếu cần thêm thông tin em có thể bổ sung.,account_system,Tài khoản / Hệ thống,low
Quên mật khẩu cổng sinh viên lần 9,Em cần reset mật khẩu để truy cập cổng thông tin. Tình trạng này ảnh hưởng đến việc học. Tình trạng này ảnh hưởng đến việc học của lớp em.,account_system,Tài khoản / Hệ thống,medium
Tài khoản bị khóa trước giờ thi lần 9,"Tài khoản của em bị khóa, sáng mai em có lịch thi online. Em cần xử lý trong tuần này. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.",account_system,Tài khoản / Hệ thống,high
Không đăng nhập được tài khoản sinh viên lần 10,Em nhập đúng mật khẩu nhưng hệ thống báo lỗi đăng nhập. Nhờ phòng ban kiểm tra giúp em.,account_system,Tài khoản / Hệ thống,low
Quên mật khẩu cổng sinh viên lần 10,Em cần reset mật khẩu để truy cập cổng thông tin. Hiện tại em vẫn chưa thể sử dụng bình thường. Tình trạng này ảnh hưởng đến việc học của lớp em.,account_system,Tài khoản / Hệ thống,medium
Tài khoản bị khóa trước giờ thi lần 10,"Tài khoản của em bị khóa, sáng mai em có lịch thi online. Cảm ơn bộ phận hỗ trợ. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.",account_system,Tài khoản / Hệ thống,high
